name,type,weight
思群堂,1,19
群贤堂,1,39
图书馆逸夫楼,5,49
地理馆,5,11
物理楼,1,5
化学实验楼,1,21
生物实验楼,1,50
行政楼,1,31
教育学部楼,1,37
信息楼,1,49
计算机中心,6,23
商学院楼,1,36
心理与认知科学学院楼,1,48
法学院楼,1,9
音乐学院楼,1,11
美术学院楼,1,8
马克思主义学院楼,1,43
河口海岸大楼,4,37
国际教育中心,6,32
档案馆,5,17
校史馆,5,43
丽娃河,4,29
丽虹桥,4,41
共青场,5,50
体育健康楼,5,39
足球场,5,24
篮球场,5,20
排球场,5,10
百花园餐厅,6,43
银之春西餐厅,6,12
申云轩餐厅,6,6
河西食堂,2,33
河东食堂,2,31
丽娃食堂,2,50
华闵餐厅,6,13
秋实阁,6,26
秋林阁,6,15
校医院,6,32
学生活动中心,6,20
学术交流中心,6,32
第一教学楼,1,18
第二教学楼,1,16
第三教学楼,1,27
第四教学楼,1,37
实验A楼,1,33
实验B楼,1,29
实验教学中心,6,14
物理信息楼,1,37
法商楼,1,50
闵行图书馆,5,46
人文学院楼,1,23
统计学院楼,1,31
生命科学学院楼,1,31
数统楼,1,9
外语学院楼,1,45
田径场,5,21
游泳馆,5,20
崇真书院,6,43
桃李园广场,4,23
青年教师公寓,3,29
本科生公寓1号楼,3,20
本科生公寓2号楼,3,26
本科生公寓3号楼,3,40
本科生公寓4号楼,3,11
本科生公寓5号楼,3,22
本科生公寓6号楼,3,47
研究生公寓1号楼,3,21
研究生公寓2号楼,3,32
研究生公寓3号楼,3,30
研究生公寓4号楼,3,14
SPF实验动物中心,6,13
信息化办公室,6,9
后勤保障部,6,48
基建处,6,43
科技处,6,50
审计处,6,8
资产管理处,6,34
人事处,6,41
学校办公室,6,44
团委,6,22
学生资助管理中心,6,48
心理健康教育与咨询中心,6,18
校园警卫室,6,13
莲花路警卫室,6,28
虹梅路警卫室,6,42
立体停车库,6,15
闵行校区大门,6,34
中北校区大门,6,30
丽娃湖,4,41
柳长桥,4,15
梅陇井,6,39
紫竹广场,4,24
心中书社,6,47
翔华书店,6,7
河西浴室,4,46
河东浴室,4,13
丽娃浴室,6,36
西操场,5,9
东操场,5,18
综合体育馆,5,17
